Recorded values are:
Time,Sensor2,Sensor3
0,1779,0
500,1779,1
1000,1780,2
1500,1780,3
2000,1779,4
2500,1781,5
3000,1783,6
3500,1781,7
4000,1780,8
4500,1782,9
5000,1784,10
5500,1773,11
6000,1620,12
6500,102,13
7000,27,14
7500,1,15
8000,1,16
8500,262,17
9000,2023,18
9500,2037,19
10000,2038,20
10500,2036,21
11000,2035,22
11500,2033,23
12000,2035,24
12500,2032,25
13000,2032,26
13500,2034,27
14001,2032,28
14500,2033,29
15000,2032,30
15500,2032,31
16000,2033,32
16500,2034,33
17000,2036,34
17500,2034,35
18000,2035,36
18500,2036,37
19000,2036,38
19500,2034,39
20000,2033,40
20500,2035,41
21000,2033,42
21500,2031,43
22000,2023,44
22500,2024,45
23000,2019,46
23500,2019,47
24000,2020,48
24500,2021,49
25000,2022,50
25500,2026,51
26000,2027,52
26500,2027,53
27000,2027,54
27500,2026,55
28000,2026,56
28500,2026,57
29000,2028,58
29500,2029,59
30001,2025,60
30500,2025,61
31000,2025,62
31500,2026,63
32000,2025,64
32500,2027,65
33000,2027,66
33500,2030,67
34000,2029,68
34500,2029,69
35000,2031,70
35500,2030,71
36000,2030,72
36500,2029,73
37000,2028,74
37500,2028,75
38000,2028,76
38500,2033,77
39000,2031,78
39500,2031,79
40000,2031,80
40500,2031,81
41000,2032,82
41500,2031,83
42000,2032,84
42500,2033,85
43000,2032,86
43500,2035,87
44000,2036,88
44500,2042,89
45000,2042,90
45500,2040,91
46001,2038,92
46500,2039,93
47000,2042,94
47500,2041,95
48000,2038,96
48500,2039,97
49000,2026,98
49500,2005,99
50000,2014,100
50500,2021,101
51000,2026,102
51500,2037,103
