Recorded values are:
Sensor1	Sensor2	Sensor3	
83	399	535
572	396	533
362	404	548
489	410	533
616	396	540
325	398	533
595	395	540
325	406	533
729	402	538
965	401	545
325	409	533
508	396	533
1023	396	533
755	395	533
936	396	533
325	419	533
325	417	556
325	395	556
1023	404	533
325	419	533
375	398	533
324	407	533
325	396	547
1023	416	533
324	397	552
1023	406	533
324	404	556
1023	413	533
601	396	533
324	399	548
690	411	533
324	396	556
1023	419	533
1023	398	533
324	396	556
993	415	533
1023	398	533
323	414	556
1023	418	533
1023	398	533
323	397	534
322	418	556
1023	419	545
1023	398	533
322	404	556
1023	419	533
1023	420	533
321	397	548
322	419	545
1023	397	533
322	402	556
753	397	533
322	419	547
360	397	556
484	420	533
321	396	556
778	397	535
321	405	556
1023	419	533
321	419	533
320	412	533
321	419	542
364	396	533
571	411	540
1023	398	536
320	399	533
321	419	542
423	417	541
772	397	537
321	397	534
320	401	533
497	399	533
398	397	536
320	401	533
460	412	533
321	401	535
468	400	543
653	407	533
320	397	533
321	406	533
510	403	533
320	398	536
321	406	535
546	409	540
321	401	533
621	406	547
481	397	542
577	402	535
522	398	540
444	397	546
534	410	546
673	407	533
320	398	535
320	402	540
411	398	535
321	406	533
353	397	546
321	415	546
790	399	533
342	398	536
465	398	552
550	399	533
414	399	533
357	404	535
777	399	534
320	404	545
715	407	538
561	398	536
327	401	545
615	398	533
320	398	547
320	404	533
938	407	533
320	397	549
320	417	534
910	399	533
665	402	551
321	403	533
320	399	537
712	401	533
327	410	533
355	410	533
320	398	533
381	397	541
320	398	533
321	402	533
320	405	533
320	398	543
782	402	533
550	398	533
1023	407	535
821	404	533
596	409	535
320	410	533
321	398	539
320	410	535
489	398	533
520	402	533
370	409	533
477	400	536
1023	399	553
387	398	545
630	403	553
397	408	536
321	407	539
321	410	541
320	408	549
402	402	556
497	407	554
320	400	544
320	414	556
320	414	533
641	400	552
879	399	549
320	400	533
319	399	547
320	421	546
960	399	543
320	416	537
908	400	533
586	399	556
422	412	533
821	421	539
1023	403	533
319	398	533
319	403	538
320	414	544
863	411	533
530	408	556
319	404	533
319	400	550
1023	405	545
319	399	546
826	407	533
774	398	548
319	401	533
565	414	552
319	399	533
465	399	551
319	404	538
319	399	552
407	411	533
319	404	542
319	421	549
673	398	533
688	415	546
319	408	535
639	420	533
1023	417	533
555	399	540
319	399	533
378	397	533
382	400	539
461	402	537
1023	406	537
358	409	537
555	399	533
319	403	538
356	406	541
878	401	533
506	402	549
823	409	535
319	398	541
707	403	538
318	420	533
542	405	534
612	398	537
402	398	540
320	398	533
318	399	533
319	398	534
463	398	533
510	406	533
624	398	543
319	410	533
519	397	534
531	398	533
449	405	533
471	401	553
377	412	548
319	416	533
486	419	533
319	399	533
319	402	533
318	398	533
543	403	542
393	401	534
602	398	543
411	400	539
658	398	537
363	398	533
319	398	549
318	414	538
664	398	539
1023	418	535
783	397	533
319	410	550
764	398	542
318	412	533
319	397	545
1023	399	542
358	398	551
318	397	547
610	404	533
419	399	533
319	398	539
523	398	533
635	398	533
484	400	534
319	400	539
515	405	540
534	398	542
572	402	533
349	398	539
319	405	534
318	402	533
525	398	533
735	399	533
416	398	545
378	396	538
322	403	533
543	418	536
783	397	542
553	402	542
438	417	540
598	402	536
319	404	549
319	398	540
601	398	533
384	412	547
518	400	556
662	398	533
319	398	554
318	405	533
918	398	533
402	397	535
318	408	549
590	417	534
318	398	547
348	397	533
871	398	533
359	403	535
800	404	539
318	397	533
318	398	533
318	397	533
319	404	533
1023	411	548
675	398	533
862	403	534
645	399	533
394	399	533
709	398	533
1023	398	533
360	406	533
429	398	545
318	399	541
624	398	533
319	407	533
479	404	550
959	398	538
600	399	533
357	411	538
541	399	542
318	410	545
877	412	542
365	408	533
318	398	542
619	402	533
770	407	544
318	402	548
825	399	541
485	406	533
318	399	552
522	398	538
318	410	533
385	397	536
432	397	543
381	407	533
318	405	545
318	397	545
319	398	535
471	397	540
367	397	533
318	405	533
318	401	535
820	406	533
318	403	556
1023	399	546
570	419	533
318	397	540
1023	398	533
576	405	533
622	402	544
318	398	541
318	398	545
431	410	545
791	408	539
473	402	533
318	411	545
335	399	547
1023	398	533
318	407	546
436	397	536
318	409	533
358	412	540
318	410	545
812	398	543
441	403	537
318	399	542
421	400	538
533	405	534
470	407	533
365	408	556
319	397	533
318	401	533
318	397	550
767	397	533
364	403	533
318	398	547
814	407	533
318	400	540
1023	398	535
318	399	539
773	397	533
318	398	539
563	403	533
318	397	538
678	401	533
318	397	537
597	396	533
785	397	540
666	404	541
665	398	538
318	404	533
324	398	533
318	407	540
672	396	533
455	398	535
318	398	536
451	397	533
318	397	538
319	398	533
319	398	533
319	397	539
360	398	533
626	398	534
993	411	533
318	398	547
496	413	543
383	398	543
340	417	533
318	409	545
575	399	533
656	402	537
449	410	534
818	414	540
661	405	535
318	399	533
916	399	535
370	400	536
318	397	543
723	399	539
319	398	533
319	400	533
739	412	536
319	398	540
318	418	533
1023	398	533
318	420	546
468	401	533
318	397	533
598	399	533
353	398	548
443	397	533
523	397	548
318	408	533
318	401	533
318	412	533
545	398	533
519	401	535
417	399	538
318	398	544
382	412	535
616	397	533
318	399	539
778	398	534
318	398	533
685	403	540
318	409	533
527	399	533
635	398	556
340	419	538
319	398	547
741	398	533
411	407	533
632	412	533
318	398	542
570	397	547
747	414	546
1023	399	533
721	403	546
563	409	536
626	402	539
318	407	533
348	406	533
318	398	541
858	398	533
318	412	540
318	401	543
318	398	533
606	398	533
347	412	534
391	398	545
946	398	533
318	415	533
318	413	533
318	407	551
318	399	553
498	398	556
580	398	533
977	398	533
318	407	536
380	415	551
515	398	545
566	397	535
391	398	535
421	408	535
781	398	538
748	398	533
667	413	533
434	410	535
318	406	533
520	404	539
318	403	534
410	397	543
752	401	535
438	398	542
422	401	533
489	404	539
515	410	552
458	398	541
415	397	534
646	401	533
679	399	541
318	398	543
949	398	543
553	411	533
318	398	533
318	397	534
517	398	546
861	399	534
896	419	540
477	402	533
318	401	533
318	403	533
318	398	533
318	404	533
318	420	556
318	415	540
557	397	533
688	398	534
317	405	533
543	410	533
318	398	546
318	419	533
696	397	534
318	416	551
1023	403	533
317	397	538
318	404	537
751	398	542
747	410	535
894	419	533
363	398	549
318	416	533
317	397	533
1023	398	533
317	398	545
543	399	533
660	397	549
363	408	533
707	401	533
386	397	533
318	404	533
453	399	553
1023	405	533
317	398	535
815	398	533
329	397	536
317	414	536
714	399	549
660	398	533
317	405	533
318	398	549
318	398	556
666	416	533
695	407	533
549	398	542
509	398	543
317	402	533
405	398	533
317	398	535
593	416	533
317	398	533
317	398	536
318	397	534
324	402	533
637	404	539
684	398	533
362	406	550
318	398	538
620	404	539
318	397	533
403	399	542
318	398	533
317	417	533
846	404	545
724	399	543
318	400	538
367	406	548
318	399	549
317	410	533
333	400	535
740	398	533
469	398	533
577	398	533
944	398	533
318	398	539
856	400	533
667	402	547
589	420	533
802	401	540
434	400	535
663	397	533
705	414	550
317	398	535
566	404	540
318	399	535
768	409	534
585	397	533
319	401	536
317	398	533
630	398	550
318	397	545
317	401	533
402	401	533
568	402	536
318	406	536
422	401	541
318	397	543
402	402	540
318	401	546
537	403	533
576	397	533
542	400	533
318	407	535
543	397	536
439	402	541
402	402	541
347	410	542
724	404	533
318	398	541
926	403	533
319	399	534
397	398	542
318	398	544
559	397	533
471	407	533
318	398	535
318	406	533
499	399	537
318	402	533
380	402	535
402	397	547
573	400	546
486	408	533
594	397	534
621	403	535
435	403	539
559	400	539
804	397	534
465	404	538
474	404	533
506	400	533
318	398	533
650	403	543
318	400	534
608	404	535
489	403	537
514	398	545
343	406	533
351	401	539
359	406	535
353	398	544
416	399	540
318	407	539
551	411	541
318	398	540
427	410	539
318	410	535
556	398	547
318	408	535
318	398	543
451	398	536
318	398	543
659	397	533
415	409	533
746	397	541
318	414	533
894	398	554
557	409	539
318	404	533
533	398	533
318	409	535
939	398	533
574	407	536
825	407	549
318	413	533
940	404	538
952	399	533
318	409	533
376	398	539
318	403	533
318	410	533
536	399	533
318	405	533
420	410	544
399	401	533
574	409	535
557	397	533
446	403	535
521	397	533
318	399	533
445	400	533
385	399	533
622	409	543
318	410	534
318	404	535
517	403	533
397	400	535
415	411	539
465	401	533
612	403	533
663	407	533
433	411	533
565	409	540
559	398	539
440	401	533
538	403	533
318	398	533
318	399	533
319	398	533
342	399	533
642	397	533
424	404	535
1023	398	540
454	410	533
911	398	539
640	398	533
318	407	534
690	398	538
501	406	534
463	403	533
639	399	533
349	409	538
380	403	543
1023	398	533
502	399	544
570	407	533
318	401	533
598	405	534
594	398	533
354	399	537
319	398	533
319	415	533
763	398	533
323	399	533
492	400	536
339	415	547
319	403	533
448	398	533
815	399	550
319	416	533
906	414	555
445	397	533
318	399	543
590	417	533
582	411	543
448	398	533
544	407	533
946	399	546
319	411	533
547	399	543
853	406	542
319	410	542
722	398	533
583	399	533
953	402	533
711	399	533
352	398	533
319	399	535
729	403	539
319	417	533
339	400	541
318	409	533
492	403	538
350	407	537
384	404	533
318	398	533
318	399	534
318	404	533
318	399	533
574	407	533
729	399	548
326	400	533
319	398	543
387	402	533
325	400	534
755	399	540
319	400	533
387	401	533
319	398	533
319	399	534
390	409	533
483	412	551
981	399	556
419	411	533
318	412	534
432	398	533
481	404	533
319	398	545
595	414	543
324	400	545
467	400	539
469	402	543
484	407	538
370	400	533
410	399	541
319	399	535
319	400	538
319	402	535
365	402	542
319	399	533
537	401	536
319	399	533
362	399	539
319	401	533
496	404	533
330	398	551
320	413	535
319	416	533
479	407	539
621	398	533
319	413	541
736	398	546
328	406	539
366	399	541
343	400	533
319	399	534
460	403	536
319	401	541
503	406	536
504	407	539
511	402	545
571	403	538
453	401	535
588	402	535
448	401	536
459	405	539
583	405	539
508	399	539
615	403	538
535	403	538
319	401	533
642	400	535
348	401	538
319	400	535
